7zip 24.09-3
plymouth-theme-arch-logo-new 0.2-3
plymouth-theme-archlinux 1.1-1
pnpm 9.15.1-1
polybar 3.7.2-2
pre-commit 4.0.1-2
prison 6.9.0-1
psutils 3.3.7-2
purpose 6.9.0-1
pyright 1.1.391-1
pyside6 6.8.1.1-2
python-black 24.10.0-3
python-bottleneck 1.4.2-1
python-bowler 0.9.0-9
python-brotli 1.1.0-3
python-brotlicffi 1.1.0.0-3
python-build 1.2.2-3
python-cchardet 2.1.7-7
python-chardet 5.2.0-6
python-cssselect 1.2.0-8
python-dbus-next 0.2.3-6
python-distlib 0.3.9-2
python-dotenv 1.0.1-3
python-email-validator 2.2.0-2
python-gobject-docs 3.50.0-2
python-html5lib 1.1-15
python-hypothesis 6.122.6-1
python-installer 0.7.0-10
python-iwlib 1.7.0-7
python-jedi 0.19.2-1
python-jupyter-server-terminals 0.5.3-3
python-keyring 25.5.0-3
python-libcst 1.5.1-2
python-lsp-server 1.12.0-2
python-lxml-docs 5.3.0-2
python-lxml-html-clean 0.2.0-2
python-markdown 3.7-2
python-matplotlib 3.9.3-2
python-mccabe 0.7.0-8
python-mdit_py_plugins 0.4.2-2
python-mpd2 3.1.1-3
python-mutagen 1.47.0-3
python-myst-parser 4.0.0-2
python-numba 0.61.0rc1-2
python-numexpr 2.10.2-1
python-numpy 2.2.1-2
python-numpydoc 1.8.0-2
python-objgraph 3.6.2-2
python-olefile 0.47-4
python-openpyxl 3.1.5-2
python-pandas 2.2.3-1
python-pandas-datareader 0.10.0-5
python-pip 24.3.1-2
python-pkginfo 1.11.2-2
python-playwright 1.49.1-2
python-protobuf 29.2-1
python-psutil 6.1.1-1
python-pycodestyle 2.12.1-2
python-pycryptodome 3.21.0-3
python-pycryptodomex 3.21.0-2
python-pycurl 7.45.3-2
python-pydantic 2.10.4-1
python-pydocstyle 6.3.0-5
python-pyflakes 3.2.0-3
python-pygments 2.18.0-3
python-pylint 3.3.3-1
python-pyqt5 5.15.11-2
python-pyqt6 6.8.0-2
python-pysocks 1.7.1-10
python-pystemmer 2.2.0.1-5
python-pytest 1:8.3.4-1
python-pywayland 0.4.18-2
python-pywlroots 0.17.0-3
python-pyxattr 0.8.1-3
python-pyxdg 0.28-4
python-rope 1.13.0-2
python-secretstorage 3.3.3-6
python-setproctitle 1.3.4-1
python-sphinx 8.1.3-2
python-tabulate 0.9.0-5
python-ukkonen 1.0.1-4
python-uv 0.5.12-1
python-webcolors 24.8.0-2
python-websockets 12.0-3
python-whatthepatch 1.0.7-1
python-xattr 0.10.1-5
python-xkbcommon 1.5.1-2
